lovingly made by Lilliane,,,,
Item (English),Item (Tiếng Việt),Mua ở đâu,Giá ước tính (USD),Ghi Chú
A. ĐỒ DÙNG CƠ BẢN CHO PHÒNG Ở,,,,
XL Twin Sheets (2 sets),Ga trải giường cỡ lớn (2 bộ),Bring from home /buy at Walmart/Target/online.,40 - 80,
Comforter or Duvet with Cover,Chăn hoặc Ruột chăn và vỏ,Bring from home /buy at Walmart/Target/online.,50 - 120,
Pillows (Sleeping /Decorative),Gối (ngủ và trang trí),Bring from home /buy at Walmart/Target/online.,20 - 60,
Pillowcases (at least 2 per pillow),Vỏ gối (ít nhất 2 chiếc mỗi gối),Bring from home /buy at Walmart/Target/online.,10 - 30,
Mattress Pad /Mattress Cover,Tấm lót nệm và vỏ bọc nệm,Bring from home /buy at Walmart/Target/online.,30 - 70,
Blanket or Throw Blanket,Chăn mỏng hoặc chăn trang trí,Bring from home /buy at Walmart/Target/online.,20 - 50,
Bath Towels (2-3),Khăn tắm (2-3 chiếc),Bring from home /buy at Walmart/Target/online.,20 - 40,
H/Towels (2),Khăn tay (2 chiếc),Bring from home /buy at Walmart/Target/online.,10 - 20,
Washcloths (4-6),Khăn mặt (4-6 chiếc),Bring from home /buy at Walmart/Target/online.,10 - 20,
Beach Towel (Optional),Khăn đi biển (tùy chọn),Bring from home /buy at Walmart/Target/online.,15 - 30,
Under-Bed Storage Bins,Hộp đựng đồ dưới giường (tùy chọn),Bring from home /buy at Walmart/Target/online.,20 - 40,
Storage Containers (various sizes),Hộp đựng đồ (nhiều kích cỡ),Bring from home /buy at Walmart/Target/online.,20 - 50,
Closet Organizers,Đồ dùng sắp xếp tủ quần áo,Bring from home /buy at Walmart/Target/online.,15 - 40,
Drawer Organizers,Đồ dùng sắp xếp ngăn kéo,Bring from home /buy at Walmart/Target/online.,10 - 25,
Desk Organizer,Đồ dùng sắp xếp bàn học,Bring from home /buy at Walmart/Target/online.,10 - 30,
Laundry Basket or Bag,Giỏ đựng quần áo bẩn,Bring from home /buy at Walmart/Target/online.,10 - 30,
Trash Can,Thùng rác,Bring from home /buy at Walmart/Target/online.,10 - 20,
Desk Lamp,Đèn bàn học,Bring from home /buy at Walmart/Target/online.,20 - 50,
Full-Length Mirror,Gương toàn thân,Bring from home /buy at Walmart/Target/online.,20 - 60,
Fan,Quạt,Bring from home /buy at Walmart/Target/online.,20 - 40,
Shower Shoes (Flip-flops),Dép đi trong nhà tắm,Bring from home /buy at Walmart/Target/online.,10 - 20,
Shower Caddy or Tote,Giỏ đựng đồ dùng nhà tắm,Bring from home /buy at Walmart/Target/online.,10 - 20,Nên dùng loại bằng lưới chắc chắn/nhỏ gọn/gấp được thay vì loại bằng nhựa/khá cồng kềnh
Robe,Áo choàng tắm,Bring from home /buy at Walmart/Target/online.,25 - 50,
Hangers,Móc treo quần áo,Bring from home /buy at Walmart/Target/online.,10 - 20,
Bag Hangers,Móc treo túi (cài vào cửa),Bring from home /buy at Walmart/Target/online.,10 - 20,
First-Aid Kit,Bộ sơ cứu,Bring from home /buy at Walmart/Target/phamarcies/online.,15 - 30,
Extension Cord,Dây điện kéo dài,Walmart /Target/Hardware Stores/Online,10 - 20,
Power Strip (Surge Protector),Ổ cắm điện (chống sốc điện),Walmart/Target/Electronics Stores/Online,15 - 30,
Small Toolkit,Bộ dụng cụ nhỏ,Walmart/Target/Hardware Stores/Online,15 - 30,
Windproof Umbrella,Ô (dù) (chống gió),Mang từ nhà/Mua ở Walmart/Target/Online,15 - 30,
Raincoat,Áo mưa,Mang từ nhà/Mua ở Walmart/Target/Online,20 - 40,
Reusable Water Bottle,Bình đựng nước cá nhân,Mang từ nhà/Mua ở Walmart/Target/Online,10 - 30,
Travel Mug,Cốc giữ nhiệt,Mang từ nhà/Mua ở Walmart/Target/Online,15 - 30,
Small Sewing Kit,Bộ kim chỉ khâu,Mang từ nhà/Mua ở Walmart/Target/Online,5 - 10,
Adhesive Hooks /Poster Strips,Móc dán và băng dính dán tường,Walmart/Target/Online,10 - 20,
Family Photos or Wall Decor,Ảnh gia đình hoặc đồ trang trí tường,Mang từ nhà/Mua ở Walmart/Target/Online,10 - 30,
Small Bulletin Board or Dry-Erase Board,Bảng ghim hoặc bảng trắng nhỏ,Walmart/Target/Office Supply Stores/Online,15 - 30,
Alarm Clock,Đồng hồ báo thức,Walmart/Target/Online,10 - 30,
Earplugs /Eye Mask,Nút bịt tai và bịt mắt,Walmart/Target/Hiệu Thuốc/Online,10 - 20,
B. ĐỒ DÙNG HỌC TẬP,,,,
Laptop /Charger,Máy tính xách tay và sạc,Bring from Home/Electronics Stores/Online,500 - 1500+,
Notebooks (various subjects),Vở học (nhiều môn học),Mang từ nhà/Mua ở Walmart/Target/Online,10 - 30,
Pens/Pencils/Highlighters/Sticky Notes,Bút/chì/bút nhớ/giấy nhớ,Mang từ nhà/Mua ở Walmart/Target/Online,10 - 25,
Index Cards,Giấy note nhỏ,Mang từ nhà/Mua ở Walmart/Target/Online,5 - 10,
Planner or Calendar,Sổ kế hoạch hoặc lịch,Mang từ nhà/Mua ở Walmart/Target/Online,10 - 30,
Backpack,Ba lô,Mang từ nhà/Mua ở Walmart/Target/Online,25 - 60,
Laptop St/(Optional),Giá đỡ máy tính (tùy chọn),Electronics Stores/Online,15 - 30,
Flash Drives or External Hard Drive,Ổ nhớ USB hoặc ổ cứng ngoài,Electronics Stores/Online,20 - 60,
Calculator (if required),Máy tính cầm tay (nếu cần),Bring from Home/Electronics Stores/Online,15 - 50,
Stapler/Scissors/Tape/Paper Clips,Bấm kim/kéo/băng dính/kẹp giấy,Mang từ nhà/Mua ở Walmart/Target/Online,10 - 20,
