Rank,Name,IPEDS IDs,NU/LAC
#26,University of Virginia,234076,NU
#40,Ohio State University-Columbus,204796,NU
#51,College of William and Mary,231624,NU
#59,University of Minnesota,174066,NU
#59,Pennsylvania State University-University Park,214777,NU
#69,Tulane University,160755,NU
#69,University of Pittsburgh,215293,NU
#75,University of Buffalo,196088,NU
#110,University of Oklahoma,207500,NU
#117,Arizona State University-Tempe,104151,NU
#117,Iowa State University of Science and Technology,153603,NU
#127,University of South Carolina,218663,NU
#45,Sewanee: The University of the South,221519,LAC
#73,Hobart and William Smith Colleges,191630,LAC
#82,St. John's University (MN),174792,LAC
#111,Linfield College,209065,LAC
#146,Houghton College,191676,LAC
#151,University of Puerto Rico in Cayey,243151,LAC
#175,Ava Maria University (typo in CSV — should be Ave Maria),446048,LAC
#176,Medgar Evers College-CUNY,190646,LAC
#183,Pennsylvania State University at Brandywine,214731,LAC
