Common App Member,School Type,Deadline ED,Deadline EDII,Deadline EA,Deadline EAII,Deadline REA,Deadline RD/ Rolling,App Fee - US Citizen (USD),App Fee - INTL (USD),Personal Essay Required?,Courses & Grades,Supplements - Portfolio?,Supplements - Writing,Test Policy,SAT/ACT Tests Used,INTL,Recommendation - Teacher Evaluations Number required,Recommendation - Other Evaluations Number required,Mid Year Report required,Counselor Recommendation required,Saves Forms
Aberystwyth University,Coed,,,,,,Rolling,$0,$20,Yes,,,,F,See Website,See Website,,,,Y,Y
Abilene Christian University,Coed,,,11/1/2025,,,2/1/2026,$50,$50,,,,,F,SAT without essay or ACT with science,D or I or T,,,,,
Adams State University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or T,,,,,
Adelphi University,Coed,,,12/1/2025,,,Rolling,$50,$50,Yes,,SR,,S,See Website,D or I or T,,,,Y,Y
Agnes Scott College,Women,11/1/2025,,11/15/2025,1/15/2026,,3/15/2026,$0,$30,Yes,,,,N,None,D or I or T,,,,,
Air Force Academy,Coed,,,,,,3/16/2026,$0,$0,,,,,A,See Website,See Website,2,1,,Y,Y
Al Akhawayn University in Ifrane,Coed,,,,,,Rolling,$80,$80,Yes,,,,F,See Website,C or I or T,1,,,Y,
Alabama State University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,D or T,,,,,
Alaska Bible College,Coed,,,,,,Rolling,$25,$50,,,,,I,None,See Website,,,,,
Alaska Pacific University,Coed,,,,,,Rolling,$35,$50,,,,,N,None,See Website,,,,,
Albany College of Pharmacy and Health Sciences,Coed,,,11/15/2025,,,2/1/2026,$50,$50,Yes,,,,S,See Website,See Website,1,,,,Y
Albertus Magnus College,Coed,,,12/15/2025,2/15/2026,,7/29/2026,$0,$100,Yes,,,,N,None,D or I or T or P,,,,,Y
Albion College,Coed,11/1/2025,,12/1/2025,,,Rolling,$0,$25,,,,,N,None,See Website,,,,,
Albright College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,Y
Alfred University,Coed,,,12/1/2025,,,7/15/2026,$0,$0,Yes,,,,N,See Website,D or I or T,,,,Y,Y
Allegheny College,Coed,11/1/2025,,12/1/2025,,,2/15/2026,$0,$0,Yes,,,,N,See Website,See Website,,,,Y,Y
Alma College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,I or T or P,,,,,Y
Alvernia University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,Y,,
Alverno College,Women,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
AMDA College of the Performing Arts,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,See Website,See Website,1,,,,Y
AMDA The American Musical and Dramatic Academy,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,1,,,,Y
American College of the Mediterranean (ACM),Coed,,,1/7/2026,,,5/6/2026,$50,$50,Yes,,,,N,None,See Website,1,,,Y,Y
American International College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
American University,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$75,$75,Yes,,SR,,N,None,See Website,1,,Y,,Y
American University in Bulgaria,Coed,,,1/15/2026,3/15/2026,,5/15/2026,$0,$0,Yes,,,,S,See Website,C or D or I or T or P,1,,,,Y
American University of Beirut (AUB),Coed,,,10/31/2025,,,12/20/2025,$50,$50,,,,,A,See Website,See Website,,,,,Y
Amherst College,Coed,11/7/2025,,,,,1/5/2026,$75,$75,Yes,Yes,,,N,None,See Website,2,,Y,Y,Y
Anderson University (IN),Coed,,,,,,Rolling,$0,$50,,,,,F,None,See Website,,,,,
Anderson University (SC),Coed,,,,,,Rolling,$0,$0,,,,,S,None,D or I or T,,,,,
Andrews University,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,D or I or T,,,,,
Angelo State University,Coed,,,,,,Rolling,$50,$50,,,,,S,See Website,See Website,,,,,
Anglo-American University in Prague,Coed,,,,,,Rolling,$50,$50,Yes,,,,S,SAT with essay or ACT with writing,See Website,,,,,
Anna Maria College,Coed,,,11/15/2025,,,Rolling,$25,$25,Yes,,,,S,See Website,See Website,,,,,
Antioch College,Coed,11/15/2025,1/2/2026,,,,Rolling,$0,$0,Yes,,,,N,None,C or D or I or T,,,Y,,
Appalachian State University,Coed,,,,,,Rolling,$65,$65,Yes,,,,S,See Website,See Website,,,,,Y
Aquinas College,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Arcadia University,Coed,,,,,,Rolling,$0,$50,,,SR,,S,See Website,See Website,,,,,Y
Arizona Christian University,Coed,,,,,,Rolling,$0,$0,,,,,S,None,D or T,,,,,
Arizona State University,Coed,,,,,,Rolling,$80,$85,,Yes,,,F,See Website,See Website,,,,,
Art Academy of Cincinnati,Coed,,,,,,5/1/2026,$0,$0,,,,Yes,S,See Website,D or I or T,,,,,
"Arts University Bournemouth, UK",Coed,,,,,,Rolling,$0,$0,,,,,S,SAT with essay or ACT with writing,I or P,,,Y,Y,Y
Asbury University,Coed,,,,,,Rolling,$0,$20,,,,,N,None,See Website,,,,,Y
Ashland University,Coed,,,,,,Rolling,$0,$50,Yes,,,,S,See Website,See Website,,,,,
Assumption University,Coed,11/1/2025,,11/15/2025,,,4/1/2026,$0,$0,Yes,,,,N,None,See Website,,,,Y,Y
Auburn University,Coed,,,12/1/2025,,,2/1/2026,$50,$60,,,,,F,See Website,I or T or P,,,,,Y
Auburn University at Montgomery,Coed,,,,,,Rolling,$15,$15,,,,,F,See Website,D or I or T or P,,,,,
Augsburg University,Coed,,,,,,Rolling,$0,$100,,,,,N,None,I or T,,,,,Y
Augusta University,Coed,,,10/31/2025,,,Rolling,$0,$0,,,,,A,See Website,See Website,,,,,Y
Augustana College (Illinois),Coed,11/15/2025,,11/15/2025,,,7/1/2026,$0,$0,Yes,,,,N,None,I or T or P,,,,,
Augustana University (South Dakota),Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,D or I or T or P,,,,,Y
Aurora University,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
Austin College,Coed,,,11/1/2025,2/1/2026,,3/1/2026,$0,$0,Yes,,,,N,See Website,I or T,,,Y,,
Austin Peay State University,Coed,,,,,,Rolling,$25,$25,,,,,F,None,C or D or I or T or P,,,,,
Ave Maria University,Coed,,,,,,7/26/2026,$10,$10,,Yes,,,S,None,I or T,,,,,
Avila University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,See Website,,,,,
Babson College,Coed,11/1/2025,1/2/2026,11/1/2025,,,1/2/2026,$75,$75,Yes,,,,N,SAT without essay or ACT without science or writing,C or D or I or T,1,,Y,Y,Y
Baker College,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,SAT without essay or ACT with science and writing,I or T,,,,,
Baldwin Wallace University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,Y,Y
Ball State University,Coed,,,,,,5/1/2026,$60,$60,,,,,S,None,D or I or T or P,,,,,
Bard College,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,2,,Y,Y,Y
Bard College Berlin,Coed,,,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,C or D or I or T,2,,Y,,Y
Barnard College,Women,11/1/2025,,,,,1/1/2026,$75,$75,Yes,,,,N,See Website,See Website,2,,Y,Y,Y
Barry University,Coed,,,,,,Rolling,$0,$50,,,,,S,See Website,See Website,,,,,Y
Barton College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,D or I or T,,,,,Y
Bates College,Coed,11/15/2025,1/10/2026,,,,1/10/2026,$0,$0,Yes,,,,N,See Website,See Website,1,,Y,Y,Y
Bay Path University,Women,,,,,,Rolling,$0,$0,,,,,N,See Website,I or T or P,,,,,
Baylor University,Coed,11/1/2025,,11/1/2025,,,2/15/2026,$0,$0,Yes,,,,S,See Website,See Website,,,,,Y
Beacon College,Coed,,,,,,Rolling,$50,$50,,,,,N,None,I or T,2,,,,Y
Belhaven University,Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,
Bellarmine University,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,N,See Website,See Website,,,,,
Belmont Abbey College,Coed,,,10/31/2025,,,7/31/2026,$0,$0,,,,,N,None,D or I or T,,,,,
