Unmatch name - Int file,Scorecard link (For you to extract the ID),
Arizona State University-Tempe,https://collegescorecard.ed.gov/school/?104151-Arizona-State-University-Campus-Immersion,
Cal Poly-Pomona (California State Polytech. U.),https://collegescorecard.ed.gov/school/?110529-California-State-Polytechnic-University-Pomona,
Cal Poly-San Luis Obispo (Cal. Polytech. State,https://collegescorecard.ed.gov/school/?110422-California-Polytechnic-State-University-San-Luis-Obispo,
Canisius College,https://collegescorecard.ed.gov/school/?189705-Canisius-University,
Coker College,https://collegescorecard.ed.gov/school/?217907-Coker-University,
College of St. Benedict,https://collegescorecard.ed.gov/school/?174747-College-of-Saint-Benedict,
College of St. Scholastica,https://collegescorecard.ed.gov/school/?174899-The-College-of-Saint-Scholastica,
Colorado State University-Pueblo,https://collegescorecard.ed.gov/school/?128106-Colorado-State-University-Pueblo,
Cottey College,https://collegescorecard.ed.gov/school/?177117-Cottey-College,
Creighton University,https://collegescorecard.ed.gov/school/?181002-Creighton-University,
Embry-Riddle Aeronautical U.- Daytona,https://collegescorecard.ed.gov/school/?133553-Embry-Riddle-Aeronautical-University-Daytona-Beach,
Embry-Riddle Aeronautical U.-Prescott,https://collegescorecard.ed.gov/school/?104586-Embry-Riddle-Aeronautical-University-Prescott,
Emory & Henry College,https://collegescorecard.ed.gov/school/?232025-Emory-Henry-University,
Florida A&M University,https://collegescorecard.ed.gov/school/?133650-Florida-Agricultural-and-Mechanical-University,
Franklin & Marshall College,https://collegescorecard.ed.gov/school/?212577-Franklin-and-Marshall-College,
Indiana University east,https://collegescorecard.ed.gov/school/?151388-Indiana-University-East,
James Madison University,https://collegescorecard.ed.gov/school/?232423-James-Madison-University,
Manhattanville College,https://collegescorecard.ed.gov/school/?192749-Manhattanville-University,
Marist College,https://collegescorecard.ed.gov/school/?192819-Marist-University,
Miami University-Ohio,https://collegescorecard.ed.gov/school/?204024-Miami-University-Oxford,
Minnesota State University-Moorhead,https://collegescorecard.ed.gov/school/?174358-Minnesota-State-University-Moorhead,
North Carolina State University-Raleigh,https://collegescorecard.ed.gov/school/?199193-North-Carolina-State-University-at-Raleigh,
Ohio University (update error),https://collegescorecard.ed.gov/school/?204820-Ohio-University-Chillicothe-Campus; https://collegescorecard.ed.gov/school/?204802-Ohio-University-Eastern-Campus; https://collegescorecard.ed.gov/school/?204848-Ohio-University-Lancaster-Campus; https://collegescorecard.ed.gov/school/?204857-Ohio-University-Main-Campus; https://collegescorecard.ed.gov/school/?204839-Ohio-University-Southern-Campus; https://collegescorecard.ed.gov/school/?204866-Ohio-University-Zanesville-Campus,"This data apply for all 6 campus of Ohio University, so put it in all 6"
South Dakota School of Mines & Technology,https://collegescorecard.ed.gov/school/?219347-South-Dakota-School-of-Mines-and-Technology,
Southern Utah University,https://collegescorecard.ed.gov/school/?230603-Southern-Utah-University,
St. Cloud State University,https://collegescorecard.ed.gov/school/?174783-Saint-Cloud-State-University,
St. Mary's College IN,https://collegescorecard.ed.gov/school/?152390-Saint-Mary-s-College,
St. Mary's University of Minnesota,https://collegescorecard.ed.gov/school/?174817-Saint-Mary-s-University-of-Minnesota,
St. Norbert College,https://collegescorecard.ed.gov/school/?239716-Saint-Norbert-College,
SUNY - Plattsburgh,https://collegescorecard.ed.gov/school/?196246-State-University-of-New-York-at-Plattsburgh,
Tennessee Tech University,https://collegescorecard.ed.gov/school/?221847-Tennessee-Technological-University,
Texas A & M University-College Station,https://collegescorecard.ed.gov/school/?228723-Texas-A-M-University-College-Station,
Texas A & M University-Commerce,https://collegescorecard.ed.gov/school/?224554-East-Texas-A-M-University,
The College of Saint Rose,NOT FOUND,
University of Alaska-Fairbanks,https://collegescorecard.ed.gov/school/?102614-University-of-Alaska-Fairbanks,
University of Colorado-Boulder,https://collegescorecard.ed.gov/school/?126614-University-of-Colorado-Boulder,
University of Colorado-Colorado Springs,https://collegescorecard.ed.gov/school/?126580-University-of-Colorado-Colorado-Springs,
University of Colorado-Denver,https://collegescorecard.ed.gov/school/?126562-University-of-Colorado-Denver-Anschutz-Medical-Campus,
University of Illinois at Chicago,https://collegescorecard.ed.gov/school/?145600-University-of-Illinois-Chicago,
University of Illinois at Urbana-Champaign,https://collegescorecard.ed.gov/school/?145637-University-of-Illinois-Urbana-Champaign,
University of Nebraska-Kearney,https://collegescorecard.ed.gov/school/?181215-University-of-Nebraska-at-Kearney,
University of North Carolina-Asheville,https://collegescorecard.ed.gov/school/?181215-University-of-Nebraska-at-Kearney,
Utah State University,https://collegescorecard.ed.gov/school/?230728-Utah-State-University,
Fashion Institute of Technology,https://collegescorecard.ed.gov/school/?191126-Fashion-Institute-of-Technology,
