School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Adelphi University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Professional,Majority,On-campus,0-None,50000,49110,18565,71675,Merit,115,0.41,25053,46265,No,Full Tuition,Presidential Award and YouAreWelcomeHere Scholarship,Presidential Award: Merit-based scholarship; students are automatically considered with their admission application. YouAreWelcomeHere Scholarship: Awarded to two first-year international students. Eligible students are contacted directly to complete a separate application.,0,22565,Automatic consideration,Early Action Only,,early_admission
Agnes Scott College,Southeast (Deep South),,Suburb: Large,Women's,No,Arts and Sciences,Very High,On-campus,1-Historically,35000,50604,13605,68209,Both,19,1,34874,30651,No,Full ride,Marvin B. Perry Presidential Scholarship,"The college's most competitive, full-tuition Merit Scholarship. Top first-year applicants are invited to compete. Focuses on academics, leadership, character, and personal achievement. Renewable for up to four years.",0,4000,By invitation only,Both,,early_admission
Alabama A & M University,Southeast (Deep South),,City: Midsize,Coeducational,Yes,Professional,High,On-campus,0-None,,26626,7992,38618,Merit,No data,,No data,,No,8610,Normalite Opportunity Scholarship,"For out-of-state, first-time freshmen. Must be unconditionally admitted. Award based on a Composite Predictive Index (CPI) score calculated during admission. Renewable with a 2.80 GPA and completion of 30 credit hours per year.",18016,30008,Automatically Awarded,,,generous_aid
Albion College,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,30000,56950,13500,74450,Merit,51,0.98,46808,25508,No,35000,Distinguished Albion Scholarship,"Link directs to departmental awards. The main Merit Scholarships, such as the Distinguished Albion Scholarship, are awarded automatically upon admission based on the application file. No separate application is needed.",21950,39450,Automatic consideration,Early Action Only,,early_admission; affordable
Alfred University,Northeast (Mid-Atlantic),,Rural: Distant,Coeducational,No,Professional,High,On-campus,1-Historically,35000,41500,15380,60880,Merit,129,1,25387,32383,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Allegheny College,Northeast (Mid-Atlantic),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,30000,56550,14940,75490,Merit,61,0.97,43598,29158,No,40000,Trustee Scholarship,"Awarded to students who balance academic excellence with leadership, co-curricular involvement, and community engagement. Consideration is automatic with the admission application. No separate scholarship application required.",16550,35490,Automatic consideration,Both,,early_admission; affordable
Alma College,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Balanced,Exclusively,On-campus,1-Historically,30000,47430,13128,64558,Both,31,0.97,35566,28992,No,Full Tuition,Distinguished Presidential Scholarship,The highest merit-based award. No separate application required; all applicants for admission are automatically considered based on academic performance and the rigor of their high school curriculum.,0,17128,By invitation only,Early Action Only,,early_admission; affordable
American University,Northeast (Mid-Atlantic),"Washington, DC",City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,40000,58772,16930,79702,Merit,51,0.07,40714,36841,No,Full ride,Emerging Global Leader,"For high-achieving international students dedicated to positive civic and social change. Requires a separate application, bank letter, and English proficiency scores. Preference for those from diverse, underrepresented backgrounds.",0,4000,Requires application,Both,Yes,early_admission
Amherst College,Northeast (New England),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,10000,70480,18390,92870,Need,199,0.84,81202,7638,Yes (Need-blind),unknown,,,,,Automatically Awarded,Early Decision only,,early_admission; generous_aid; affordable
Andrews University,Midwest (Great Lakes),,Town: Fringe,Coeducational,No,Balanced,Majority,On-campus,5-Very,30000,35056,10726,49782,Both,229,0.76,18834,28926,,,,,,,Unclear,,,affordable
