College/University that need-blind for US Citizen,Specific School that need blind (if applicable),Does they need-blinded for international students?
Adrian College,,
Amherst College,,yes
Antioch College,,
Babson College,,
Barnard College,,
Baylor University,,
Berea College,,
Biola University,,
Boston College,,
Boston University,,
Bowdoin College,,Yes
Brandeis University,,
Brown University,,Yes
Cal Poly San Luis Obispo,,
California Institute of Technology,,
Carnegie Mellon University,,
Chapman University,,
Claremont McKenna College,,
Colby College,,
Colgate University,,
College of the Ozarks,,
College of William and Mary,,
Columbia University,,
Cooper Union for the Advancement of Science and Art,,
Cornell College,,
Cornell University,,
Curtis Institute of Music,,
Dartmouth College,,
Davidson College,,yes
Denison University,,
DePaul University,,
Duke University,,
Elon University,,
Emory University,,
Fairleigh Dickinson University,,
Florida State University,,
Fordham University,,
Franklin W Olin College of Engineering,,
Georgetown University,,yes
Georgia Institute of Technology,,
Grinnell College,,Yes
Hamilton College,,
Harvard University,,Yes
Harvey Mudd College,,
Haverford College,,
Hiram College,,
Ithaca College,,
Jewish Theological Seminary,,
Johns Hopkins University,,
Julliard,,
Kenyon College,,
Lafayette College,,
Lawrence University,,
Lehigh University,,
Lewis & Clark College,,
List College,,
Marist College,,
Marlboro College,,
Massachusetts Institute of Technology,,yes
Middlebury College,,
Mount St. Mary's College,,
New York University,,
North Carolina State University,,
North Central College,,
Northeastern University,,
Northwestern University,,
Olin College,,
Penn State,,
Pomona College,,
Princeton University,,yes
Providence College,,
Purdue University,,
Randolph College,,
Rice University,,
Salem College,,
Saint Louis University,,
San Jose State University,,
Santa Clara University,,
Southern Methodist University,,
Soka University of America,,
St. John's College,,
St. Olaf College,,
Stanford University,,
SUNY College of Environmental Science and Forestry,,
Swarthmore College,,
Syracuse University,,
Texas Christian University,,
The College of New Jersey,,
Thomas Aquinas College,,
Tulane University,,
University of Chicago,,
University of Florida,,
University of Illinois at Chicago,,
University of Maryland-College Park,Robert H. Smith School of Business,
University of New Hampshire,,
University of North Carolina at Chapel Hill,,
University of Michigan-Ann Arbor,,
University of Notre Dame,,yes
University of Pennsylvania,,
University of Richmond,,
University of Rochester,,
University of Southern California,,
University of Vermont,,
University of Virginia,,
University of Washington,,
Ursuline College,,
Vanderbilt University,,
Vassar College,,
Wabash College,,
Wake Forest University, School of Medicine,
Washington and Lee University,,
Wellesley College,,
Wesleyan University,,
Williams College,,
Yale University,,yes
Yeshiva University,,
